Line,Time,Value
line_40006_40007,1,20.328281158455997
line_40006_40007,2,21.602652676984075
line_40006_40007,3,21.993185884274936
line_40006_40007,4,21.520435159659684
line_40006_40007,5,21.253228228355407
line_40006_40007,6,20.616042469091365
line_40006_40007,7,20.2871723997938
line_40006_40007,8,19.81442167517854
line_40006_40007,9,22.19872967758592
line_40006_40007,10,22.342610332903604
line_40006_40007,11,22.28094719491031
line_40006_40007,12,22.239838436248117
line_40006_40007,13,22.17817529825482
line_40006_40007,14,22.568708505545683
line_40006_40007,15,22.93868733350545
line_40006_40007,16,23.63753623076278
line_40006_40007,17,23.575873092769488
line_40006_40007,18,23.00035047149874
line_40006_40007,19,22.424827850228
line_40006_40007,20,21.767087711632858
line_40006_40007,21,21.725978952970664
line_40006_40007,22,21.356000125010898
line_40006_40007,23,21.171010711031013
line_40006_40007,24,21.10934757303772
line_40006_40008,1,154.91174025260486
line_40006_40008,2,113.86318003043225
line_40006_40008,3,99.63362028216304
line_40006_40008,4,103.6915627238237
line_40006_40008,5,112.49753068971778
line_40006_40008,6,121.69209103607984
line_40006_40008,7,136.3709315509982
line_40006_40008,8,149.42273827436622
line_40006_40008,9,163.35705162566637
line_40006_40008,10,175.4885841238606
line_40006_40008,11,197.3826482112012
line_40006_40008,12,200.55001700011832
line_40006_40008,13,204.9031673973629
line_40006_40008,14,212.67664973772108
line_40006_40008,15,200.76818058235966
line_40006_40008,16,181.23617015522845
line_40006_40008,17,164.55888666419997
line_40006_40008,18,135.6763670318016
line_40006_40008,19,138.47483948791154
line_40006_40008,20,153.5865763793891
line_40006_40008,21,152.66295087815666
line_40006_40008,22,193.23419812930098
line_40006_40008,23,206.39137041333348
line_40006_40008,24,207.11247308077526
line_10001_10022,1,-41.450494624490425
line_10001_10022,2,-34.952166912821966
line_10001_10022,3,-38.76697439862139
line_10001_10022,4,-37.52999712442079
line_10001_10022,5,-34.567947194478165
line_10001_10022,6,-37.02312255829132
line_10001_10022,7,-40.08074256919825
line_10001_10022,8,-37.36318378870007
line_10001_10022,9,-40.93191480851607
line_10001_10022,10,-46.92477089949909
line_10001_10022,11,-50.26105719012568
line_10001_10022,12,-53.23161711356234
line_10001_10022,13,-53.107440450560034
line_10001_10022,14,-50.6233650475275
line_10001_10022,15,-49.70242080667842
line_10001_10022,16,-44.69842226625856
line_10001_10022,17,-40.997857448632004
line_10001_10022,18,-32.836692958303935
line_10001_10022,19,-33.244158798194405
line_10001_10022,20,-32.66719977640681
line_10001_10022,21,-33.13350866778456
line_10001_10022,22,-31.192442031435185
line_10001_10022,23,-39.79734667319846
line_10001_10022,24,-39.462599337126534
line_10001_10228,1,-8.977506552740154
line_10001_10228,2,-18.856362097382647
line_10001_10228,3,-18.127811444234673
line_10001_10228,4,-19.407852767262977
line_10001_10228,5,-21.070803890903473
line_10001_10228,6,-17.208869598718962
line_10001_10228,7,-12.859328122981179
line_10001_10228,8,-12.749014363794085
line_10001_10228,9,-8.613273367746762
line_10001_10228,10,-1.3500278363467526
line_10001_10228,11,2.531736406097316
line_10001_10228,12,5.653020500430912
line_10001_10228,13,5.098203349151653
line_10001_10228,14,1.5734134327831626
line_10001_10228,15,-1.428959834737828
line_10001_10228,16,-9.016801304819374
line_10001_10228,17,-14.174366441116277
line_10001_10228,18,-23.792531250114685
line_10001_10228,19,-24.34682916737606
line_10001_10228,20,-23.818477602586164
line_10001_10228,21,-21.79468561194011
line_10001_10228,22,-21.862466124284772
line_10001_10228,23,-11.226373846148556
line_10001_10228,24,-11.001288547460454
line_10022_10093,1,113.4946959938693
line_10022_10093,2,99.10922633518206
line_10022_10093,3,107.05829162409124
line_10022_10093,4,104.80939390059352
line_10022_10093,5,99.47808310546934
line_10022_10093,6,107.73441490114513
line_10022_10093,7,115.0050769869005
line_10022_10093,8,109.65080386971378
line_10022_10093,9,123.45619906687837
line_10022_10093,10,133.4394211055252
line_10022_10093,11,141.407205800174
line_10022_10093,12,147.83300236833375
line_10022_10093,13,147.81749995689808
line_10022_10093,14,142.3729969915167
line_10022_10093,15,139.5448346326628
