Node,Time,Value
bus_10001,1,0.0
bus_10001,2,0.0
bus_10001,3,0.0
bus_10001,4,0.0
bus_10001,5,0.0
bus_10001,6,0.0
bus_10001,7,0.0
bus_10001,8,0.0
bus_10001,9,0.0
bus_10001,10,0.0
bus_10001,11,0.0
bus_10001,12,0.0
bus_10001,13,0.0
bus_10001,14,0.0
bus_10001,15,0.0
bus_10001,16,0.0
bus_10001,17,0.0
bus_10001,18,0.0
bus_10001,19,0.0
bus_10001,20,0.0
bus_10001,21,0.0
bus_10001,22,0.0
bus_10001,23,0.0
bus_10001,24,0.0
bus_10022,1,0.30963304943874603
bus_10022,2,0.2610908777748307
bus_10022,3,0.28958729224588853
bus_10022,4,0.2803471360314228
bus_10022,5,0.2582207763653533
bus_10022,6,0.2765608092573901
bus_10022,7,0.29940107248172027
bus_10022,8,0.27910104904755995
bus_10022,9,0.3057592850542155
bus_10022,10,0.3505256098739509
bus_10022,11,0.37544749578450043
bus_10022,12,0.39763742466150787
bus_10022,13,0.39670983141605076
bus_10022,14,0.37815391672686144
bus_10022,15,0.37127451091420627
bus_10022,16,0.3338949008156143
bus_10022,17,0.3062518731628041
bus_10022,18,0.2452883968278687
bus_10022,19,0.24833214556212055
bus_10022,20,0.2440222915317723
bus_10022,21,0.24750559481501916
bus_10022,22,0.23300592750775465
bus_10022,23,0.29728411980668523
bus_10022,24,0.2947835745321734
bus_10025,1,0.5993658064357599
bus_10025,2,0.5309127895450438
bus_10025,3,0.5815468574181826
bus_10025,4,0.5670542556396327
bus_10025,5,0.5312763807633035
bus_10025,6,0.5591283428347342
bus_10025,7,0.5900875931039435
bus_10025,8,0.555171174325556
bus_10025,9,0.5992011246379685
bus_10025,10,0.6625635077865455
bus_10025,11,0.6991955136001576
bus_10025,12,0.7343170958156051
bus_10025,13,0.7331186914526389
bus_10025,14,0.7066376274109911
bus_10025,15,0.6985239595562417
bus_10025,16,0.6501222083445601
bus_10025,17,0.6047555129491302
bus_10025,18,0.5086206042242125
bus_10025,19,0.5064190912747997
bus_10025,20,0.4811079972977673
bus_10025,21,0.5063211874027039
bus_10025,22,0.479959688297381
bus_10025,23,0.5808092438322027
bus_10025,24,0.574652734426718
bus_10033,1,1.2954912913087093
bus_10033,2,1.1389033540328914
bus_10033,3,1.2432069557023695
bus_10033,4,1.2089489577521761
bus_10033,5,1.1354557347574807
bus_10033,6,1.2125462510256033
bus_10033,7,1.2848139381774204
bus_10033,8,1.2144888842685126
bus_10033,9,1.3325223590210291
bus_10033,10,1.4615597114758385
bus_10033,11,1.5484920983608108
bus_10033,12,1.6236813213257744
bus_10033,13,1.6230437627278833
bus_10033,14,1.5640172729189796
bus_10033,15,1.540604035497712
bus_10033,16,1.4432696494912047
bus_10033,17,1.317582094739345
bus_10033,18,1.0896056138063166
bus_10033,19,1.0762291279514078
bus_10033,20,0.9761408245303729
bus_10033,21,1.080597354114046
bus_10033,22,1.021810690599549
bus_10033,23,1.2536037071467967
bus_10033,24,1.23998526770398
bus_10035,1,1.3137912422606632
bus_10035,2,1.1561621540359626
bus_10035,3,1.2617202509868206
bus_10035,4,1.2272350025125776
bus_10035,5,1.1526851448783697
bus_10035,6,1.2302675144763424
bus_10035,7,1.3028521568940654
bus_10035,8,1.2314199756200261
bus_10035,9,1.3499961687716304
bus_10035,10,1.4800769943040595
bus_10035,11,1.567590201531454
bus_10035,12,1.643492753633898
bus_10035,13,1.6428719324420906
bus_10035,14,1.5835301737512557
bus_10035,15,1.560228998483765
bus_10035,16,1.4620622911915064
bus_10035,17,1.3360118051874346
bus_10035,18,1.1061660820040828
bus_10035,19,1.0922333158048667
bus_10035,20,0.9908396302949259
bus_10035,21,1.097124884668593
bus_10035,22,1.0375852027543666
bus_10035,23,1.2714720655549527
bus_10035,24,1.257609474392787
bus_10093,1,1.3719184163157394
bus_10093,2,1.18873141583179
bus_10093,3,1.2916293312964642
bus_10093,4,1.2613399875199323
bus_10093,5,1.1893137325826355
bus_10093,6,1.2849312133221162
bus_10093,7,1.3758232729195776
bus_10093,8,1.305408431935199
bus_10093,9,1.4612821275144678
bus_10093,10,1.5994892126540632
bus_10093,11,1.6989878090745831
bus_10093,12,1.781321779090334
bus_10093,13,1.7802490866869363
bus_10093,14,1.7107338229339333
bus_10093,15,1.6773834401064118
bus_10093,16,1.5726748073104557
bus_10093,17,1.4110629677800868
bus_10093,18,1.1507078557651196
bus_10093,19,1.1363543261383642
bus_10093,20,1.0143466137342663
bus_10093,21,1.132615756175152
bus_10093,22,1.0674715524532312
bus_10093,23,1.3281860177165494
bus_10093,24,1.3149228576300362
bus_10228,1,0.12846356235501433
bus_10228,2,0.2698249713163932
bus_10228,3,0.25939978123609253
bus_10228,4,0.2777165229005863
bus_10228,5,0.30151250947103636
bus_10228,6,0.24625018982354074
bus_10228,7,0.18401045885797376
bus_10228,8,0.1824319249522957
bus_10228,9,0.1232515703394939
bus_10228,10,0.019318213149351726
bus_10228,11,-0.036227863021929235
bus_10228,12,-0.08089185424538896
bus_10228,13,-0.07295270240068882
bus_10228,14,-0.022514747657952205
bus_10228,15,0.020447689985436338
bus_10228,16,0.12902585031373634
bus_10228,17,0.20282798976018385
bus_10228,18,0.3404590466046304
bus_10228,19,0.34839076847406497
bus_10228,20,0.3408303257397693
bus_10228,21,0.3118708895024786
bus_10228,22,0.31284079423302824
bus_10228,23,0.1606437119408416
bus_10228,24,0.15742285555568078
bus_10525,1,0.21914112340428799
bus_10525,2,0.19227725431907972
bus_10525,3,0.213517824664107
bus_10525,4,0.20830217476287843
bus_10525,5,0.19076663802538193
bus_10525,6,0.19472197426005772
bus_10525,7,0.20630403786352475
bus_10525,8,0.19143838808594044
bus_10525,9,0.2022573815558861
bus_10525,10,0.22976297409715146
bus_10525,11,0.2423603354338262
bus_10525,12,0.25507691719761094
bus_10525,13,0.2525034176128902
bus_10525,14,0.24011417331557633
bus_10525,15,0.23591303200857003
bus_10525,16,0.2111683795528211
bus_10525,17,0.19892624118153818
bus_10525,18,0.1678191073637838
bus_10525,19,0.17694140724610938
bus_10525,20,0.19530992048897167
bus_10525,21,0.17830626531308294
bus_10525,22,0.17236437158684553
bus_10525,23,0.21196828009097246
bus_10525,24,0.210800235454036
bus_10558,1,0.3785174596763266
bus_10558,2,0.3095325499532029
bus_10558,3,0.34979572207996346
bus_10558,4,0.336071999047436
bus_10558,5,0.3036972354370606
bus_10558,6,0.31933914947634906
bus_10558,7,0.3558115740008385
bus_10558,8,0.33307347551793365
bus_10558,9,0.36650028082778613
bus_10558,10,0.4412634442896841
bus_10558,11,0.47627901028244324
bus_10558,12,0.5092098781396162
bus_10558,13,0.5037656900426474
bus_10558,14,0.47100646414079117
bus_10558,15,0.45575736418486246
bus_10558,16,0.38912052876990977
bus_10558,17,0.3507602528885452
bus_10558,18,0.2721930415563034
bus_10558,19,0.280667028862608
bus_10558,20,0.29305137388717617
bus_10558,21,0.282575311276027
bus_10558,22,0.2670933456296384
bus_10558,23,0.35600636942367936
bus_10558,24,0.3548548018931595
bus_10570,1,0.5573326237383089
bus_10570,2,0.46962683306664577
bus_10570,3,0.5309982170758089
bus_10570,4,0.511351806141548
bus_10570,5,0.4724857708121017
