Bus,Time,Value
bus_10001,1,23.632298166121878
bus_10001,2,23.787666836736463
bus_10001,3,24.444120929706457
bus_10001,4,24.031497810845806
bus_10001,5,23.701491951437124
bus_10001,6,23.691872516768843
bus_10001,7,23.558544176594445
bus_10001,8,23.22678872964172
bus_10001,9,22.687721745290375
bus_10001,10,22.197733413697126
bus_10001,11,21.711169511729256
bus_10001,12,21.72713711831249
bus_10001,13,21.70520633226429
bus_10001,14,21.72713711831249
bus_10001,15,22.2105820210226
bus_10001,16,22.693271167878695
bus_10001,17,23.60264681000809
bus_10001,18,23.946148870951475
bus_10001,19,24.59780776900225
bus_10001,20,25.633343950744095
bus_10001,21,23.955270570208544
bus_10001,22,23.739840338721812
bus_10001,23,23.632298166121945
bus_10001,24,23.57817015251802
bus_10022,1,23.628742605369627
bus_10022,2,23.784643567644576
bus_10022,3,24.44011232920101
bus_10022,4,24.02789342920024
bus_10022,5,23.698210854130576
bus_10022,6,23.688600842969436
bus_10022,7,23.55540311551929
bus_10022,8,23.223972666857758
bus_10022,9,22.68527957591245
bus_10022,10,22.19546567909973
bus_10022,11,21.70931152610228
bus_10022,12,21.72519772560418
bus_10022,13,21.703285543671168
bus_10022,14,21.72519772560418
bus_10022,15,22.208232516946634
bus_10022,16,22.690773102241177
bus_10022,17,23.599257890784195
bus_10022,18,23.94242344607608
bus_10022,19,24.59343315635515
bus_10022,20,25.628090881922788
bus_10022,21,23.951441028587812
bus_10022,22,23.736193548819745
bus_10022,23,23.628742605369737
bus_10022,24,23.574660509125895
bus_10025,1,23.632840266277448
bus_10025,2,23.790217058710766
bus_10025,3,24.442953893535165
bus_10025,4,24.031855729454914
bus_10025,5,23.70306949151159
bus_10025,6,23.69348560793633
bus_10025,7,23.56065001690863
bus_10025,8,23.230120657471627
bus_10025,9,22.692464222190317
bus_10025,10,22.203133962693233
bus_10025,11,21.71811587838316
bus_10025,12,21.73377636887124
bus_10025,13,21.71191576864862
bus_10025,14,21.73377636887124
bus_10025,15,22.21567408674535
bus_10025,16,22.69780277072814
bus_10025,17,23.603817581461428
bus_10025,18,23.946050142258116
bus_10025,19,24.595259916593754
bus_10025,20,25.62748203737725
