,EIA_ID,plant,state,bal_auth,bus,capacity,new bus
36,322,Big Creek 2A,CA,CISO,23353,110.0,bus_23060
37,328,Borel,CA,CISO,26205,12.0,bus_23060
38,337,Kaweah 1,CA,CISO,23485,2.3,bus_23060
39,340,Kern River No. 1,CA,CISO,26034,26.4,bus_25289
40,342,Lundy,CA,CISO,23393,3.0,bus_23060
41,344,Mammoth Pool,CA,CISO,23493,190.0,bus_23060
42,353,Poole,CA,CISO,23493,11.3,bus_23060
43,376,Pardee,CA,CISO,23278,23.6,bus_20136
44,380,Dion R Holm,CA,CISO,23338,156.8,bus_23060
45,381,Moccasin,CA,CISO,23281,100.0,bus_23054
46,382,R C Kirkwood,CA,CISO,23338,115.5,bus_23060
47,385,Drop 2,CA,IID,28736,10.0,bus_40004
48,386,Drop 3,CA,IID,28736,9.2,bus_40004
49,387,Drop 4,CA,IID,28736,19.6,bus_40004
50,388,Pilot Knob,CA,IID,28915,33.0,bus_40004
51,391,Big Pine,CA,LDWP,23363,3.2,bus_23060
52,393,Control Gorge,CA,LDWP,23363,37.5,bus_23060
53,394,Cottonwood,CA,LDWP,23333,1.6,bus_28099
54,398,Haiwee,CA,LDWP,23333,5.6,bus_28099
55,401,Middle Gorge,CA,LDWP,23337,37.5,bus_23060
56,402,Pleasant Valley,CA,LDWP,23363,3.2,bus_23060
57,407,Upper Gorge,CA,LDWP,23393,37.5,bus_23060
58,409,Exchequer,CA,CISO,23469,94.5,bus_23054
59,410,McSwain,CA,CISO,23469,9.0,bus_23054
60,412,Chicago Park,CA,CISO,20505,44.0,bus_20136
61,415,Donnells,CA,CISO,23272,72.0,bus_23060
62,418,Kelly Ridge,CA,CISO,20439,10.0,bus_20136
63,419,Woodleaf,CA,CISO,20383,67.2,bus_20136
64,424,French Meadows,CA,CISO,20283,15.3,bus_20136
65,425,Middle Fork,CA,CISO,20418,122.4,bus_20136
66,426,Oxbow,CA,CISO,20454,6.1,bus_20136
67,427,Ralston,CA,CISO,20454,79.2,bus_20136
68,430,Camino,CA,BANC,20541,157.8,bus_20136
69,431,Jaybird,CA,BANC,20541,161.6,bus_20136
70,432,Loon Lake,CA,BANC,20283,74.1,bus_20136
71,433,Robbs Peak,CA,BANC,20406,25.5,bus_20136
72,435,White Rock/Slab Creek,CA,BANC,20313,266.5,bus_20136
73,437,Edward C Hyatt,CA,CISO,20439,644.1,bus_20136
74,439,Don Pedro,CA,TIDC,23502,170.8,bus_23060
75,440,La Grange,CA,TIDC,23503,4.5,bus_23060
76,441,Folsom,CA,WALC,20396,198.6,bus_20136
77,442,Judge F Carr,CA,WALC,20482,154.4,bus_20026
78,443,Keswick,CA,WALC,20462,117.0,bus_20026
79,445,Shasta,CA,WALC,20390,714.0,bus_20026
80,447,Parker,CA,WALC,28991,120.0,bus_40006
81,450,Spring Creek,CA,WALC,20479,180.0,bus_20026
82,451,Trinity,CA,WALC,20351,140.0,bus_20026
83,454,Colgate,CA,CISO,20544,315.0,bus_20136
84,455,Narrows 2,CA,CISO,20372,46.7,bus_20136
85,472,Georgetown,CO,PSCO,60746,1.2,bus_60194
86,474,Salida No. 1,CO,PSCO,60827,0.6,bus_60003
87,476,Shoshone,CO,PSCO,60848,14.4,bus_60003
88,489,Upper Dawson,CA,TIDC,23503,4.4,bus_23060
89,505,Boysen,WY,WAUW,70111,15.0,bus_70063
90,512,Blue Mesa,CO,WACM,60811,86.4,bus_60003
91,513,Estes,CO,WACM,60856,45.0,bus_60194
92,514,Morrow Point,CO,WACM,60807,173.2,bus_60003
93,515,Big Thompson,CO,WACM,60783,4.5,bus_60194
94,516,Green Mountain,CO,WACM,60798,26.0,bus_60003
95,517,Marys Lake,CO,WACM,60857,8.1,bus_60194
96,519,Pole Hill,CO,WACM,60722,38.2,bus_60194
97,520,Lower Molina,CO,WACM,60847,5.6,bus_60003
98,521,Upper Molina,CO,WACM,60847,9.9,bus_60003
99,534,Jones Fork,CA,BANC,20407,10.0,bus_20136
100,537,Camanche,CA,CISO,20470,10.8,bus_23060
101,584,Navajo Dam,NM,WACM,53222,30.0,bus_60000
102,585,Drop 1,CA,IID,40722,5.7,bus_40004
103,586,East Highline,CA,IID,28733,2.4,bus_40004
104,622,South Fork Tolt,WA,SCL,10925,16.8,bus_10228
105,682,Kerckhoff 2,CA,CISO,23293,139.5,bus_23060
106,790,Gem State,ID,PACE,74268,23.4,bus_70000
107,809,American Falls,ID,IPCO,74313,92.4,bus_50196
108,810,Bliss,ID,IPCO,74261,75.0,bus_50007
109,811,Brownlee,ID,IPCO,74252,675.0,bus_13446
110,812,C J Strike,ID,IPCO,74307,82.8,bus_74001
111,813,Cascade,ID,IPCO,13544,12.4,bus_13446
112,814,Clear Lake,ID,IPCO,74333,2.5,bus_74104
113,815,Lower Malad,ID,IPCO,74199,13.5,bus_74104
114,816,Lower Salmon,ID,IPCO,74199,60.0,bus_74104
115,818,Shoshone Falls,ID,IPCO,74322,11.5,bus_50196
116,819,Swan Falls,ID,IPCO,74228,25.0,bus_74001
117,821,Twin Falls,ID,IPCO,74322,52.7,bus_50196
118,822,Upper Salmon A,ID,IPCO,74332,18.0,bus_74104
119,827,Grace,ID,PACE,74317,33.0,bus_50196
120,829,Oneida,ID,PACE,74284,30.0,bus_50196
121,831,Soda,ID,PACE,74318,14.5,bus_50196
122,833,Cabinet Gorge,ID,AVA,74236,265.2,bus_74235
123,835,Post Falls,ID,AVA,74212,14.5,bus_10677
124,850,Palisades,ID,BPAT,74196,176.4,bus_70000
125,917,Quincy Chute,WA,GCPD,10901,9.4,bus_10558
126,2181,Black Eagle,MT,NWMT,77200,24.0,bus_74132
127,2182,Cochrane,MT,NWMT,77267,60.4,bus_74132
128,2186,Holter,MT,NWMT,77270,38.4,bus_74132
129,2188,Séliš Ksanka QÍispé,MT,NWMT,77236,207.6,bus_74235
130,2191,Morony,MT,NWMT,77294,63.0,bus_74132
131,2194,Ryan,MT,NWMT,77291,52.8,bus_74132
132,2195,Thompson Falls,MT,NWMT,77252,98.1,bus_74235
133,2199,Noxon Rapids,MT,AVA,77274,569.5,bus_74235
134,2204,Yellowtail,MT,WAUW,77216,268.8,bus_77001
135,3013,Hells Canyon,OR,IPCO,13597,391.5,bus_13446
136,3014,Oxbow_OR,OR,IPCO,13543,190.0,bus_13446
137,3020,Clearwater 1,OR,PACW,13603,15.0,bus_13000
138,3021,Clearwater 2,OR,PACW,13659,26.0,bus_20007
139,3024,Eagle Point,OR,PACW,13632,2.8,bus_13366
140,3025,East Side,OR,PACW,13522,3.2,bus_13366
141,3026,Fish Creek,OR,PACW,13600,11.0,bus_13000
142,3028,John C Boyle,OR,PACW,13460,98.7,bus_13366
143,3029,Lemolo 1,OR,PACW,13633,32.0,bus_13366
144,3032,Prospect 1,OR,PACW,13612,3.8,bus_13366
145,3033,Prospect 2,OR,PACW,13612,32.0,bus_13366
146,3034,Prospect 3,OR,PACW,13612,7.2,bus_13366
147,3035,Prospect 4,OR,PACW,13612,1.0,bus_13366
148,3036,Slide Creek,OR,PACW,13600,18.0,bus_13000
149,3037,Soda Springs,OR,PACW,13600,11.0,bus_13000
150,3040,Toketee,OR,PACW,13680,42.6,bus_13000
151,3045,Faraday,OR,PGE,13593,19.2,bus_10093
152,3047,North Fork,OR,PGE,13593,40.8,bus_10093
153,3048,Pelton,OR,PGE,13663,109.8,bus_10093
154,3049,River Mill,OR,PGE,13593,18.8,bus_10093
155,3050,Round Butte,OR,PGE,13526,372.5,bus_13504
156,3053,Sullivan,OR,PGE,11050,15.4,bus_10093
157,3067,Carmen Smith,OR,BPAT,13454,114.3,bus_10093
158,3068,Leaburg,OR,BPAT,13586,15.9,bus_20007
159,3071,Walterville,OR,BPAT,13563,8.0,bus_10093
160,3646,Cutler,UT,PACE,50379,30.0,bus_50196
161,3847,Merwin,WA,PACW,10955,136.0,bus_10093
162,3850,Swift 1,WA,PACW,10742,240.0,bus_10093
163,3852,Yale,WA,PACW,10813,134.0,bus_10093
164,3854,Electron,WA,PSEI,10836,22.8,bus_10228
165,3855,Lower Baker,WA,PSEI,10758,111.2,bus_10228
166,3861,Upper Baker,WA,PSEI,11037,104.8,bus_10228
167,3866,Little Falls,WA,AVA,11054,43.2,bus_10677
168,3867,Long Lake,WA,AVA,10972,70.0,bus_10677
169,3868,Meyers Falls,WA,AVA,10818,1.6,bus_11016
170,3869,Nine Mile,WA,AVA,10869,37.6,bus_10677
171,3891,Box Canyon,WA,AVA,10993,90.0,bus_74053
172,3913,Alder,WA,TPWR,10998,50.0,bus_10093
173,3914,Cushman 1,WA,TPWR,11008,43.2,bus_10228
174,3915,Cushman 2,WA,TPWR,10731,84.6,bus_10228
175,3916,LaGrande,WA,TPWR,10842,64.0,bus_10093
176,3917,Mayfield,WA,TPWR,10757,162.0,bus_10033
177,3918,Mossyrock,WA,TPWR,10864,300.0,bus_10093
178,3929,Packwood,WA,BPAT,10966,27.5,bus_10228
179,4176,Fremont Canyon,WY,WAUW,70111,66.8,bus_70063
180,4177,Glendo,WY,WAUW,70172,38.0,bus_60194
181,4178,Guernsey,WY,WAUW,70172,6.4,bus_60194
182,4180,Kortes,WY,WAUW,70182,36.0,bus_70063
183,4182,Seminoe,WY,WAUW,70182,51.6,bus_70063
184,4183,Shoshone_WY,WY,WAUW,77213,3.0,bus_77001
185,4185,Fontenelle,WY,WAUW,70188,10.0,bus_50316
186,4213,Portland No. 1,OR,PGE,13665,23.7,bus_10093
187,4214,Portland No. 2,OR,PGE,13665,11.8,bus_10093
188,4263,Echo Dam,UT,PACE,50412,4.4,bus_50316
189,6158,New Melones,CA,WALC,23453,300.0,bus_23060
190,6159,Crystal,CO,WACM,60765,28.0,bus_60003
191,6172,Libby,MT,BPAT,77187,525.0,bus_74235
192,6202,Ross,WA,SCL,10919,450.0,bus_10228
193,6395,Anderson Ranch,ID,BPAT,74298,40.0,bus_74001
194,6396,Black Canyon,ID,BPAT,74328,10.2,bus_13446
195,6397,Boise R Diversion,ID,IPCO,74220,3.3,bus_74001
196,6398,Minidoka,ID,BPAT,74248,27.7,bus_50196
197,6400,Canyon Ferry,MT,WAUW,77228,49.8,bus_77001
198,6402,Elephant Butte,NM,WACM,53300,27.9,bus_80007
199,6403,Green Springs,OR,BPAT,20415,17.2,bus_13366
200,6405,Flaming Gorge,UT,WAUW,50458,151.8,bus_50316
201,6406,Chandler,WA,BPAT,10811,12.0,bus_13504
202,6407,Roza,WA,BPAT,10746,12.9,bus_10570
203,6408,Heart Mountain,WY,WAUW,77213,5.0,bus_77001
204,6409,Alcova,WY,WAUW,70166,41.4,bus_70063
205,6421,Lemolo 2,OR,PACW,13659,38.5,bus_20007
206,6424,Chelan,WA,CHPD,10873,59.2,bus_10750
207,6430,Cedar Falls,WA,SCL,10867,30.0,bus_10228
208,6431,Gorge,WA,SCL,10771,207.3,bus_10228
209,6432,Diablo,WA,SCL,10806,182.4,bus_10228
210,6433,Boundary,WA,SCL,11041,1118.6,bus_11016
211,6484,Bend,OR,PACW,13528,1.1,bus_13504
212,6505,Oak Grove,OR,PGE,13577,51.0,bus_10093
213,6506,Moyie Springs,ID,BPAT,74266,3.9,bus_74053
214,6612,Union Valley,CA,BANC,20347,38.6,bus_20136
215,7072,Mojave Siphon,CA,CISO,28896,32.7,bus_28099
216,7079,Upper Salmon B,ID,IPCO,74332,16.5,bus_74104
217,7113,Potholes East Canal Headworks,WA,GCPD,10727,6.6,bus_10750
218,7127,Wynoochee,WA,TPWR,11009,12.8,bus_10228
219,7151,Stony Gorge,CA,CISO,20299,5.0,bus_20136
220,7179,Headgate Rock,AZ,WALC,28992,19.5,bus_40006
221,7189,Whiskeytown,CA,WALC,20483,3.5,bus_20026
222,7190,Milner Hydro,ID,IPCO,74324,59.5,bus_50196
223,7233,Tesla,CO,WACM,60763,26.6,bus_60194
224,7317,Buffalo Bill,WY,WAUW,77213,18.0,bus_77001
225,7372,McPhee,CO,WACM,60735,1.2,bus_60003
226,7373,Towaoc,CO,WACM,53215,11.4,bus_60003
227,7427,Cowlitz Falls,WA,BPAT,10694,70.0,bus_10093
228,7508,Stone Creek,OR,PGE,13578,12.0,bus_10093
229,7511,McNary Fish,WA,BPAT,13475,10.0,bus_13504
230,7541,Spirit Mountain,WY,WAUW,77213,4.5,bus_77001
231,7588,Jackson,WA,BPAT,10728,111.8,bus_10228
232,7593,El Vado Dam,NM,WACM,53224,8.0,bus_60000
233,7789,Abiquiu Dam,NM,WACM,53248,15.6,bus_40367
234,7907,Pine Flat,CA,CISO,23436,165.0,bus_23060
235,8902,Hoover Dam (AZ),AZ,WALC,30451,1039.4,bus_30220
236,9095,Monroe Street,WA,AVA,10778,14.8,bus_10677
237,9096,Upper Falls,WA,AVA,10778,10.0,bus_10677
238,10014,Lucky Peak,ID,IPCO,74220,101.2,bus_74001
239,10070,Foothills Hydro Plant,CO,WACM,60841,3.1,bus_60194
240,10081,Strontia Springs Hydro Plant,CO,PSCO,60841,1.0,bus_60194
241,10421,Dillon Hydro Plant,CO,PSCO,60799,1.8,bus_60003
242,10422,Williams Fork Hydro Plant,CO,WACM,60798,3.5,bus_60003
243,10458,Muck Valley Hydroelectric,CA,CISO,20526,29.9,bus_20136
244,10707,Cove Hydroelectric,CA,CISO,20370,5.0,bus_20026
245,10735,Barber Dam,ID,IPCO,74220,4.1,bus_74001
246,10740,Magic Dam Hydroelectric Project,ID,IPCO,74200,9.0,bus_74104
247,10882,Hatchet Creek Project,CA,CISO,20370,6.8,bus_20026
248,50179,Lake Siskiyou,CA,PACW,20536,5.0,bus_20026
249,50180,Olsen,CA,CISO,20371,5.0,bus_20026
250,50322,Madera Canal (Site 980 65),CA,CISO,23495,2.1,bus_23060
251,50360,Michell Butte Power Project,OR,IPCO,74329,1.8,bus_13446
252,50380,Upriver Dam Hydro Plant,WA,AVA,10872,17.6,bus_10677
253,50755,New Hogan,CA,CISO,23278,3.0,bus_20136
254,50827,Twin Falls Hydro,WA,PSEI,10802,24.0,bus_10228
255,50895,Bypass,ID,IPCO,74324,9.9,bus_50196
256,50896,S E Hazelton A,ID,IPCO,74324,8.4,bus_50196
257,50980,Central Oregon Siphon,OR,PACW,13528,5.4,bus_13504
258,54249,Smith Creek,ID,BPAT,74266,38.1,bus_74053
259,54267,Koma Kulshan,WA,PSEI,11037,12.0,bus_10228
260,54306,Wilson Lake Hydroelectric Project,ID,IPCO,74322,8.4,bus_50196
261,54514,Blind Canyon Hydro,ID,IPCO,74333,1.3,bus_74104
262,54524,Horseshoe Bend Hydro Partners,ID,IPCO,74220,9.4,bus_74001
263,54554,Spicer Meadow Project,CA,CISO,23272,5.9,bus_23060
264,54555,Collierville Powerhouse,CA,CISO,23423,253.0,bus_23054
265,54558,Hazelton B Hydro,ID,IPCO,74324,7.6,bus_50196
266,54721,Reregulating,OR,PACW,13663,19.6,bus_10093
267,56498,Mora Drop Hydroelectric Project,ID,IPCO,74228,1.7,bus_74001
268,56499,Tiber,MT,WAUW,77294,7.5,bus_74132
269,56694,Russell D Smith,WA,BPAT,10811,6.1,bus_13504
270,56695,Summer Falls Power Plant,WA,AVA,10902,92.0,bus_10558
271,56696,Eltopia Branch Canal 4.6,WA,BPAT,10811,2.2,bus_13504
272,56697,Potholes East Canal 66.0,WA,BPAT,10811,2.3,bus_13504
273,56698,Dry Falls Dam (Main Canal Headworks),WA,AVA,11047,26.8,bus_10558
274,57496,Tieton,WA,PACW,10966,13.8,bus_10228
275,840,Dworshak,ID,BPAT,74276,465.0,bus_13446
276,851,Albeni Falls,ID,BPAT,74301,42.0,bus_74235
277,2203,Hungry Horse,MT,BPAT,77223,428.0,bus_74235
278,3074,Big Cliff,OR,BPAT,13488,18.0,bus_10093
279,3075,Bonneville,OR,BPAT,13669,1162.0,bus_10093
280,3076,Cougar,OR,BPAT,13533,26.0,bus_10093
281,3077,Detroit,OR,BPAT,13488,100.0,bus_10093
282,3078,Dexter,OR,BPAT,13583,15.0,bus_13504
283,3080,Green Peter,OR,BPAT,13650,80.0,bus_10093
284,3081,Hills Creek,OR,BPAT,13513,30.0,bus_10093
285,3082,John Day,OR,BPAT,13499,2160.0,bus_13504
286,3083,Lookout Point,OR,BPAT,13583,120.0,bus_13504
287,3084,McNary,OR,BPAT,13475,990.5,bus_13504
288,3883,Rocky Reach,WA,CHPD,10710,1299.6,bus_11016
289,3886,Wells,WA,DOPD,11077,774.0,bus_10750
290,3887,Priest Rapids,WA,BPAT,10683,955.6,bus_13504
291,3888,Wanapum,WA,GCPD,10908,1098.0,bus_13504
292,3895,The Dalles,OR,BPAT,13625,1819.7,bus_13504
293,3921,Chief Joseph,WA,BPAT,10750,2456.2,bus_10750
294,3925,Ice Harbor,WA,BPAT,10847,603.0,bus_13504
295,3926,Little Goose,WA,BPAT,10879,810.0,bus_13446
296,3927,Lower Monumental,WA,BPAT,10944,810.0,bus_13504
297,6163,Grand Coulee,WA,BPAT,11014,6809.0,bus_11016
298,6174,Lost Creek,OR,PACW,13655,49.0,bus_13366
299,6175,Lower Granite,WA,BPAT,10829,810.0,bus_13446
300,6200,Rock Island,WA,CHPD,10722,629.4,bus_10750
301,6552,Foster,OR,BPAT,13653,20.0,bus_10093
