,EIA_ID,plant,state,bal_auth,bus,capacity,new bus
0,152,Davis,AZ,WALC,40732,254.8,bus_40008
1,153,Glen Canyon,AZ,WALC,40924,1312.0,bus_40787
2,154,Hoover Dam (NV),NV,WALC,30451,1039.4,bus_30220
3,217,Balch 1,CA,CISO,23487,31.0,bus_23060
4,218,Balch 2,CA,CISO,23487,97.2,bus_23060
5,219,Belden,CA,CISO,20295,117.9,bus_20136
6,220,Bucks Creek,CA,CISO,20357,66.0,bus_20136
7,221,Butt Valley,CA,CISO,20472,40.0,bus_30001
8,222,Caribou 1,CA,CISO,20376,73.8,bus_20136
9,223,Caribou 2,CA,CISO,20376,117.9,bus_20136
10,229,Cow Creek,CA,CISO,20369,1.4,bus_20136
11,231,Cresta,CA,CISO,20330,73.8,bus_20136
12,235,Drum 1,CA,CISO,20410,49.2,bus_20136
13,236,Drum 2,CA,CISO,20410,53.1,bus_20136
14,239,Electra,CA,CISO,23277,102.5,bus_20136
15,240,Haas,CA,CISO,23319,135.0,bus_23060
16,241,Halsey,CA,CISO,20344,13.6,bus_20136
17,242,Hamilton Branch,CA,CISO,20472,5.3,bus_30001
18,249,James B Black,CA,CISO,20319,168.6,bus_13366
19,254,Kings River,CA,CISO,23307,48.6,bus_23060
20,265,Pit 1,CA,CISO,20525,69.2,bus_20136
21,266,Pit 3,CA,CISO,20323,80.1,bus_20136
22,267,Pit 4,CA,CISO,20353,103.4,bus_20136
23,268,Pit 5,CA,CISO,20319,141.6,bus_13366
24,269,Pit 6,CA,CISO,20494,79.2,bus_20026
25,270,Pit 7,CA,CISO,20367,109.8,bus_20136
26,272,Poe,CA,CISO,20379,142.8,bus_20136
27,275,Rock Creek,CA,CISO,20328,126.0,bus_20136
28,279,Salt Springs,CA,CISO,23490,42.0,bus_30001
29,285,Stanislaus,CA,CISO,23423,81.9,bus_23054
30,287,Tiger Creek,CA,CISO,23370,52.2,bus_20136
31,317,Big Creek 1,CA,CISO,23324,88.4,bus_23060
32,318,Big Creek 2,CA,CISO,23353,66.6,bus_23060
33,319,Big Creek 3,CA,CISO,23311,174.5,bus_23060
34,320,Big Creek 4,CA,CISO,23306,100.0,bus_23060
35,321,Big Creek 8,CA,CISO,23353,75.0,bus_23060
