bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_10750,bus_11016,bus_13000,bus_13366,bus_13420,bus_13446,bus_13504,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_21647,bus_23017,bus_23054,bus_23060,bus_23263,bus_23377,bus_25160,bus_25289,bus_25375,bus_25403,bus_25439,bus_25598,bus_25618,bus_25675,bus_25714,bus_25830,bus_26100,bus_26133,bus_28078,bus_28099,bus_28122,bus_28365,bus_28549,bus_28667,bus_30001,bus_30144,bus_30146,bus_30205,bus_30207,bus_30220,bus_30221,bus_30374,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40160,bus_40162,bus_40279,bus_40281,bus_40367,bus_40369,bus_40595,bus_40602,bus_40691,bus_40787,bus_40844,bus_40961,bus_40994,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60194,bus_60577,bus_70000,bus_70016,bus_70063,bus_70155,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,0.0,0.0,25726.7808,0.0,227447.6904,123260.676,0.0,0.0,462.252,0.0,16818.396,354362.3496,491760.0576,10576.9776,39543.0,0.0,75473.2608,565181.0472,0.0,7205.351999999999,50235.0408,163230.68160000004,0.0,0.0,0.0,24862.101599999998,80547.4656,0.0,0.0,0.0,270.74879999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.1639999999998,0.0,0.0,0.0,0.0,53804.33520000001,0.0,0.0,0.0,0.0,0.0,10191.4848,0.0,21794.522399999998,0.0,0.0,0.0,0.0,0.0,350.2464,0.0,0.0,0.0,0.0,85099.6104,0.0,0.0,0.0,0.0,1942.0464,0.0,5601.3048,4448.976,0.0,0.0,0.0,1483.5240000000001,10945.6536,276.6624,0.0,3772.272,0.0,4540.300799999999,0.0,4508.7504,8312.0016,4731.7536,18459.4368,124578.14880000001,10509.5088,0.0,0.0
0.0,0.0,0.0,21767.4744,0.0,210683.39039999997,121524.68160000003,0.0,0.0,417.6144,0.0,16497.4656,352204.0368,634595.9423999999,8877.8088,56291.18879999999,0.0,80081.0304,572510.0136,0.0,6517.4088,61970.3448,247731.20400000003,0.0,0.0,0.0,34632.091199999995,106776.3984,0.0,0.0,0.0,259.9296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6054.568800000001,0.0,0.0,0.0,0.0,55296.36,0.0,0.0,0.0,0.0,0.0,10074.1032,0.0,23552.860800000002,0.0,0.0,0.0,0.0,0.0,304.09680000000003,0.0,0.0,0.0,0.0,86217.6672,0.0,0.0,0.0,0.0,2166.9648,0.0,6214.168800000001,4236.6576000000005,0.0,0.0,0.0,1757.8847999999998,10924.62,377.12640000000005,0.0,3838.5311999999994,0.0,5120.522400000001,0.0,4994.673600000001,8205.624,5160.590400000001,17903.4576,121282.9296,10421.5272,0.0,27.585600000000003
0.0,0.0,0.0,16770.4656,0.0,210580.3728,122076.024,0.0,0.0,388.8864,0.0,15917.529600000002,344812.7928,619775.184,6871.536,54660.479999999996,0.0,88196.00159999999,556607.8056000001,0.0,4623.6624,63936.23039999999,292958.95439999993,0.0,0.0,0.0,45368.4504,122400.36480000001,0.0,0.0,0.0,511.8456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6703.3848,0.0,0.0,0.0,0.0,57161.412000000004,0.0,0.0,0.0,0.0,0.0,10058.2104,0.0,22840.1208,0.0,0.0,0.0,0.0,0.0,265.57439999999997,0.0,0.0,0.0,0.0,86670.8976,0.0,0.0,0.0,0.0,2387.0784,0.0,6914.628000000001,4124.9544,0.0,0.0,0.0,1960.1231999999998,11147.136,456.7416,0.0,3965.9088,0.0,4979.956799999999,0.0,5704.087200000001,7967.349599999999,5725.7424,18380.006400000002,117009.76559999998,10378.4856,0.0,120.01920000000001
0.0,0.0,0.0,12788.344799999999,0.0,196705.4376,122138.4192,0.0,0.0,378.2856,0.0,14854.240800000001,334270.9944,606513.8687999999,6295.144800000001,52176.7344,0.0,94821.48479999999,544739.2104,0.0,4275.7848,96879.18240000002,281033.8776,0.0,0.0,0.0,35001.1872,136544.0664,0.0,0.0,0.0,567.0840000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6325.8048,0.0,0.0,0.0,0.0,59392.032,0.0,0.0,0.0,0.0,0.0,10069.735200000001,0.0,22645.828800000003,0.0,0.0,0.0,0.0,0.0,237.6696,0.0,0.0,0.0,0.0,86424.2232,0.0,0.0,0.0,0.0,2491.3896,0.0,6992.7144,4063.0968,0.0,0.0,0.0,2022.3,11495.971199999996,495.3984,0.0,4111.3632,0.0,5048.6688,0.0,6151.7735999999995,7578.547200000001,5904.107999999999,17769.2592,111656.74800000002,10364.5584,0.0,217.6944
0.0,0.0,0.0,20044.1304,0.0,224005.0176,125195.26319999997,0.0,0.0,408.17280000000005,0.0,18646.3368,311556.5712,587481.048,14148.708,57232.37520000001,0.0,102279.996,543352.8072,0.0,9299.270400000001,96925.07999999999,254745.03599999996,0.0,0.0,0.0,30155.6304,125427.8424,0.0,0.0,0.0,553.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6555.326400000001,0.0,0.0,0.0,0.0,61967.1528,0.0,0.0,0.0,0.0,0.0,10096.6824,0.0,22889.16,0.0,0.0,0.0,0.0,0.0,223.1544,0.0,0.0,0.0,0.0,85485.0864,0.0,0.0,0.0,0.0,2645.7983999999997,0.0,7228.536,4035.7296,0.0,0.0,0.0,1979.9304,12044.239199999998,509.2416,0.0,4345.4376,0.0,5108.9808,0.0,6781.807200000001,7282.632,6153.403200000001,17412.3096,107122.32720000001,10374.537600000001,0.0,318.9816
0.0,0.0,0.0,17250.1392,0.0,210392.28000000006,123344.52479999998,0.0,0.0,448.44239999999996,0.0,18022.7544,305677.4112,571159.092,14380.850400000001,63379.1424,0.0,118280.5344,537637.3632,0.0,9085.7592,67837.98000000001,319696.776,0.0,0.0,0.0,42454.3392,143172.13679999998,0.0,0.0,0.0,638.3496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.7488,0.0,0.0,0.0,0.0,64851.98159999999,0.0,0.0,0.0,0.0,0.0,10100.9832,0.0,23204.042400000002,0.0,0.0,0.0,0.0,0.0,224.3808,0.0,0.0,0.0,0.0,83903.1648,0.0,0.0,0.0,0.0,3307.5335999999998,0.0,7896.4704,3985.968,0.0,0.0,0.0,1616.8824,12347.042399999997,483.60479999999995,0.0,4675.4064,0.0,5116.4736,0.0,8662.5672,7030.8336,7096.840800000001,18578.4312,103450.90560000001,10408.557600000002,0.0,422.5032
0.0,0.0,0.0,12074.0592,0.0,197878.4304,102130.56000000001,0.0,0.0,463.1928,0.0,15275.601599999998,290070.4632,554231.9496,9953.831999999999,60770.6904,0.0,147479.3376,548777.0232,0.0,6258.957600000001,97885.92240000002,315289.9512,0.0,0.0,0.0,36704.8752,106959.38399999998,0.0,0.0,0.0,649.6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.9544,0.0,0.0,0.0,0.0,67998.1176,0.0,0.0,0.0,0.0,0.0,10104.9984,0.0,22986.700800000002,0.0,0.0,0.0,0.0,0.0,242.8608,0.0,0.0,0.0,0.0,81767.4816,0.0,0.0,0.0,0.0,3770.8943999999997,0.0,8609.227200000001,3937.8527999999997,0.0,0.0,0.0,1846.2528,11729.676000000001,431.4576,0.0,5061.2856,0.0,4293.9624,0.0,9933.957600000002,6774.6336,7725.715200000001,18023.0064,99111.12960000001,10469.592,0.0,527.2008000000001
0.0,0.0,0.0,15031.8336,0.0,209890.8,98257.18559999998,0.0,0.0,552.2832,0.0,23880.5952,284180.43360000005,538339.8384,12115.8072,59553.312000000005,0.0,167207.6784,565239.6120000001,0.0,7539.050399999999,98785.7472,395075.8895999999,0.0,0.0,0.0,43376.2056,126539.26319999999,0.0,0.0,0.0,738.5784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3953.9303999999997,0.0,0.0,0.0,0.0,71344.89600000001,0.0,0.0,0.0,0.0,0.0,10133.424,0.0,23195.172,0.0,0.0,0.0,0.0,0.0,279.4008,0.0,0.0,0.0,0.0,79201.33200000001,0.0,0.0,0.0,0.0,3724.1064,0.0,9135.369600000002,3900.8928,0.0,0.0,0.0,1972.9415999999999,9443.4984,382.82160000000005,0.0,5579.8512,0.0,4036.3008,0.0,10487.282400000002,6643.224000000001,7741.9104,20637.019200000002,99754.5696,10561.874399999997,0.0,632.2848
0.0,0.0,0.0,16429.610399999998,0.0,222265.19280000002,100012.68480000002,0.0,0.0,766.584,0.0,27580.4928,289126.152,537605.7456,8923.9248,59132.08559999999,0.0,191269.8312,589177.092,0.0,5841.7464,98927.3544,425877.3623999999,0.0,0.0,0.0,38475.4104,113564.75760000001,0.0,0.0,0.0,881.8152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4039.4424,0.0,0.0,0.0,0.0,74820.8664,0.0,0.0,0.0,0.0,0.0,10133.6928,0.0,22996.2768,0.0,0.0,0.0,0.0,0.0,334.0176,0.0,0.0,0.0,0.0,76355.10960000001,0.0,0.0,0.0,0.0,4160.654399999999,0.0,10182.2952,3890.4264,0.0,0.0,0.0,1993.2696,9329.7624,438.7320000000001,0.0,6225.3408,0.0,4252.0632,0.0,13130.3928,7392.0504,8369.5584,20223.6048,106724.0664,10689.7896,0.0,737.2008
0.0,0.0,0.0,13153.8792,0.0,231496.57440000007,93507.5904,0.0,0.0,925.68,0.0,29532.602400000003,307122.19440000004,551098.8504,8591.268,58089.7464,0.0,216470.04959999997,644016.3744,0.0,5372.9928,99328.65599999999,418034.0639999999,0.0,0.0,0.0,39745.423200000005,99027.04560000001,0.0,0.0,0.0,1155.4704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4479.787200000001,0.0,0.0,0.0,0.0,78346.32960000001,0.0,0.0,0.0,0.0,0.0,10107.552,0.0,22855.728,0.0,0.0,0.0,0.0,0.0,406.15680000000003,0.0,0.0,0.0,0.0,73397.5368,0.0,0.0,0.0,0.0,4427.539199999999,0.0,11669.011199999999,3971.5872,0.0,0.0,0.0,1835.1648,9418.651199999998,391.74240000000003,0.0,7136.707200000001,0.0,5935.0872,0.0,14567.5488,8944.135199999999,8774.808,22721.8656,123169.09919999998,10857.319200000002,0.0,841.6128
